A1,B8196,C3566
A10,B6808,C8518
A100,B1548,C1828
A1000,B3920,C6958
A10000,B1847,C6388
A1003,B6319,C1320
A1003,B706,C536
A1003,B9865,C8592
A1005,B2447,C9388
A1006,B2998,C4710
A1007,B1531,C764
A1008,B2849,C6870
A1008,B7206,C8081
A1010,B6022,C6037
A1010,B8197,C9332
A1012,B8087,C6310
A1013,B4711,C8142
A1014,B9070,C2406
A1017,B7234,C9856
A1018,B6920,C2784
A1019,B3759,C2873
A102,B1963,C3366
A1021,B4538,C5204
A1021,B4863,C6787
A1021,B5643,C7779
A1023,B2579,C4698
A1023,B791,C5904
A1024,B7859,C8930
A1026,B471,C989
A1026,B5573,C4808
A1027,B3185,C7143
A1029,B1196,C8699
A1029,B8178,C176
A103,B5174,C2709
A103,B6013,C700
A103,B6149,C2329
A103,B9639,C4486
A1030,B767,C9878
A1031,B1748,C6447
A1032,B1994,C3955
A1033,B1582,C4643
A1033,B6812,C6212
A1034,B2431,C3805
A1034,B3569,C5881
A1035,B312,C3013
A1035,B6557,C7680
A1036,B284,C2475
A1037,B6809,C5151
A1039,B7205,C5921
A1041,B1880,C6426
A1041,B8431,C4533
A1043,B6448,C5635
A1044,B1385,C7327
A1044,B1773,C9327
A1044,B3666,C6227
A1044,B6732,C3176
A1046,B8884,C260
A1047,B484,C1140
A1050,B5993,C9190
A1054,B8859,C1364
A1054,B903,C5436
A1059,B3013,C8263
A1059,B6294,C2675
A106,B7068,C976
A1060,B270,C8071
A1061,B3367,C9354
A1062,B8109,C7622
A1063,B5203,C7011
A1063,B856,C5352
A1064,B1267,C758
A1064,B8174,C1966
A1064,B969,C1090
A1065,B5117,C7491
A1065,B6816,C6776
A1066,B4865,C8140
A1066,B5629,C4136
A1066,B719,C3966
A1067,B4122,C2239
A1071,B1385,C3422
A1072,B3858,C9726
A1073,B9224,C7205
A1074,B85,C3065
A1075,B4205,C6770
A1075,B7733,C8544
A1079,B2452,C3252
A1080,B2119,C3806
A1081,B4225,C6532
A1081,B5719,C2689
A1082,B1324,C9468
A1084,B7632,C3551
A1084,B8938,C7414
A1085,B9239,C3060
A1086,B1114,C8513
A1088,B9255,C7151
A109,B606,C669
A109,B7488,C883
A109,B8022,C5789
A1090,B5355,C7749
A1090,B5668,C6444
A1092,B6359,C3858
A1092,B638,C2145
A1093,B4831,C4177
A1094,B3389,C7107
A1097,B5979,C7960
A1098,B1317,C8562
A1099,B8951,C2683
A11,B2923,C4169
A11,B5715,C6883
A110,B5048,C1387
A110,B9846,C7678
A1100,B6130,C696
A1104,B1568,C4810
A1106,B2363,C1622
A1106,B7356,C9741
A1107,B5933,C2918
A1108,B4877,C7009
A1108,B9363,C4565
A1109,B2570,C8910
A1109,B4313,C9935
A1109,B8176,C2943
A111,B4765,C5402
A111,B650,C5039
A111,B8446,C3849
A1110,B3337,C7607
A1111,B2481,C8317
A1111,B3484,C7650
A1115,B3570,C3776
A1115,B6768,C2986
A1116,B2900,C134
A1116,B4894,C2367
A1116,B7888,C9962
A1117,B6701,C1797
A1117,B7294,C9699
A1117,B7667,C9984
A1118,B8437,C2163
A1119,B2268,C6392
A1120,B1909,C7601
A1120,B4459,C3647
A1121,B9579,C8278
A1122,B4986,C6194
A1124,B3247,C3965
A1124,B5599,C3364
A1126,B5117,C2029
A1126,B8121,C4095
A1129,B4025,C1755
A1130,B5645,C7679
A1130,B9315,C9061
A1131,B1620,C5625
A1133,B3911,C8726
A1133,B5834,C8367
A1134,B4971,C9682
A1135,B8601,C5665
A1135,B8649,C1440
A1136,B4143,C5504
A1138,B1331,C690
A1138,B7844,C1711
A1139,B2951,C1828
A114,B7552,C35
A114,B8917,C4126
A1141,B4411,C6704
A1145,B2076,C7520
A1146,B3414,C2302
A1147,B3452,C5500
A115,B6341,C6127
A1150,B2882,C8006
A1151,B5112,C9219
A1151,B8023,C8474
A1151,B8786,C8004
A1153,B6809,C2266
A1154,B4022,C1035
A1154,B4149,C7461
A1154,B4273,C7382
A1155,B3373,C2565
A1155,B5268,C388
A1155,B6319,C754
A1156,B2191,C9790
A1156,B2556,C8439
A1156,B6790,C3161
A1157,B7970,C260
A1158,B764,C8931
A1159,B7207,C3418
A1160,B3944,C7433
A1160,B914,C6844
A1163,B1228,C8428
A1163,B4852,C6783
A1163,B6513,C9431
A1163,B798,C3176
A1164,B9303,C6839
A1165,B1426,C802
A1165,B3222,C5498
A1168,B2652,C8718
A1168,B9299,C9404
A1169,B4870,C7729
A1172,B5401,C8671
A1173,B5143,C5334
A1174,B2698,C840
A1174,B8345,C9214
A1175,B225,C7958
A1175,B9347,C267
A1176,B61,C9375
A1176,B7520,C2317
A1177,B1282,C5952
A1178,B923,C371
A1178,B9899,C9777
A1179,B8224,C2203
A118,B2686,C5178
A118,B3408,C8725
A1181,B1527,C6400
A1183,B5391,C3093
A1186,B8571,C3597
A1187,B3777,C2636
A1187,B4973,C353
A1187,B7858,C4916
A1188,B6569,C5450
A1189,B9796,C8713
A1190,B465,C942
A1191,B4277,C2353
A1192,B5366,C5160
A1193,B3180,C497
A1193,B5995,C3782
A1193,B672,C4653
A1194,B337,C9549
A1195,B3402,C1073
A1197,B9953,C1836
A1198,B8499,C2776
A12,B5775,C9914
A120,B6087,C6115
