A0,B2596,C2682
A0,B2596,C3322
A1,B415,C5730
A1,B415,C2377
A2,B64,C998
A2,B64,C1765
A3,B922,C2706
A3,B922,C1136
A4,B3565,C2253
A4,B3565,C3164
A5,B1200,C592
A5,B1200,C5437
A6,B740,C1265
A6,B740,C1439
A7,B2151,C603
A7,B2151,C2872
A8,B3650,C4671
A8,B3650,C4818
A9,B1157,C3833
A9,B1157,C4470
A10,B1701,C2645
A10,B1701,C1687
A11,B625,C3265
A11,B625,C4763
A12,B3300,C3682
A12,B3300,C3529
A13,B3604,C2384
A13,B3604,C4706
A14,B577,C1126
A14,B577,C2693
A15,B3351,C2642
A15,B3351,C2477
A16,B762,C3598
A16,B762,C2351
A17,B2268,C4654
A17,B2268,C630
A18,B3505,C859
A18,B3505,C4588
A19,B2611,C3923
A19,B2611,C1232
A20,B2492,C1067
A20,B2492,C2706
A21,B467,C97
A21,B467,C5379
A22,B112,C4001
A22,B112,C1519
A23,B1009,C1142
A23,B1009,C4027
A24,B89,C1356
A24,B89,C1641
A25,B167,C1378
A25,B167,C3714
A26,B1028,C5485
A26,B1028,C1101
A27,B3521,C4940
A27,B3521,C4125
A28,B3400,C568
A28,B3400,C4417
A29,B3501,C2958
A29,B3501,C5735
A30,B582,C4466
A30,B582,C4191
A31,B3767,C4091
A31,B3767,C5812
A32,B1999,C3210
A32,B1999,C5417
A33,B534,C4989
A33,B534,C3778
A34,B322,C1107
A34,B322,C302
A35,B163,C4721
A35,B163,C4227
A36,B2154,C1690
A36,B2154,C1364
A37,B917,C3350
A37,B917,C1337
A38,B2217,C1619
A38,B2217,C4859
A39,B846,C2773
A39,B846,C3298
A40,B1424,C4438
A40,B1424,C5786
A41,B2188,C3029
A41,B2188,C2242
A42,B1994,C623
A42,B1994,C5499
A43,B2290,C980
A43,B2290,C4285
A44,B2789,C2741
A44,B2789,C962
A45,B1406,C4417
A45,B1406,C2954
A46,B374,C1587
A46,B374,C2401
A47,B454,C327
A47,B454,C4137
A48,B3399,C5173
A48,B3399,C5711
A49,B933,C2286
A49,B933,C2759
A50,B1378,C5296
A50,B1378,C1772
A51,B2633,C3460
A51,B2633,C4970
A52,B2408,C2797
A52,B2408,C2761
A53,B2868,C1001
A53,B2868,C1743
A54,B101,C5848
A54,B101,C885
A55,B793,C3736
A55,B793,C3493
A56,B1202,C2790
A56,B1202,C4448
A57,B174,C2198
A57,B174,C2191
A58,B3982,C5581
A58,B3982,C6
A59,B1070,C4080
A59,B1070,C3253
A60,B2047,C4039
A60,B2047,C3262
A61,B239,C1083
A61,B239,C4934
A62,B2186,C3420
A62,B2186,C1116
A63,B936,C5009
A63,B936,C3992
A64,B2425,C3448
A64,B2425,C4025
A65,B299,C1870
A65,B299,C1373
A66,B663,C3463
A66,B663,C4363
A67,B3474,C3833
A67,B3474,C4878
A68,B3937,C1050
A68,B3937,C2511
A69,B1214,C3902
A69,B1214,C3972
A70,B3868,C3005
A70,B3868,C3792
A71,B3081,C2490
A71,B3081,C407
A72,B1730,C3597
A72,B1730,C4411
A73,B2067,C5255
A73,B2067,C2589
A74,B2436,C2336
A74,B2436,C2434
A75,B468,C5852
A75,B468,C5789
A76,B1299,C5999
A76,B1299,C4714
A77,B1191,C430
A77,B1191,C2021
A78,B2782,C2005
A78,B2782,C977
A79,B1522,C1161
A79,B1522,C2396
A80,B1715,C298
A80,B1715,C3143
A81,B3163,C5796
A81,B3163,C3333
A82,B3068,C4286
A82,B3068,C4140
A83,B841,C1943
A83,B841,C3367
A84,B118,C5440
A84,B118,C4447
A85,B2553,C5667
A85,B2553,C1755
A86,B621,C62
A86,B621,C4139
A87,B3759,C2524
A87,B3759,C1919
A88,B2566,C520
A88,B2566,C5610
A89,B1630,C334
A89,B1630,C576
A90,B3982,C845
A90,B3982,C5660
A91,B2012,C5653
A91,B2012,C1578
A92,B2463,C5667
A92,B2463,C1256
A93,B2958,C1115
A93,B2958,C646
A94,B1387,C1716
A94,B1387,C721
A95,B1492,C96
A95,B1492,C5241
A96,B2504,C1471
A96,B2504,C5379
A97,B3981,C2306
A97,B3981,C3102
A98,B2793,C4064
A98,B2793,C654
A99,B152,C2709
A99,B152,C3886
A100,B107,C2744
A100,B107,C2483
A101,B2392,C1904
A101,B2392,C4688
A102,B3359,C1319
A102,B3359,C4221
A103,B3561,C5495
A103,B3561,C3402
A104,B3874,C1744
A104,B3874,C5403
A105,B3894,C4731
A105,B3894,C3530
A106,B3955,C4092
A106,B3955,C758
A107,B3209,C1754
A107,B3209,C101
A108,B1894,C4270
A108,B1894,C11
A109,B139,C636
A109,B139,C3356
A110,B2772,C5888
A110,B2772,C3113
A111,B3796,C5194
A111,B3796,C3862
A112,B145,C4442
A112,B145,C1487
A113,B3551,C3736
A113,B3551,C1316
A114,B73,C2303
A114,B73,C1591
A115,B213,C4917
A115,B213,C5803
A116,B1489,C4997
A116,B1489,C3602
A117,B656,C4406
A117,B656,C4493
A118,B3837,C3772
A118,B3837,C772
A119,B3747,C5263
A119,B3747,C129
A120,B1128,C697
A120,B1128,C2106
A121,B418,C1988
A121,B418,C13
A122,B930,C3302
A122,B930,C3221
A123,B3327,C293
A123,B3327,C3590
A124,B1725,C5690
A124,B1725,C1292
A125,B2993,C800
A125,B2993,C3464
A126,B3722,C4260
A126,B3722,C817
A127,B1058,C3764
A127,B1058,C5188
A128,B3631,C2882
A128,B3631,C1039
A129,B1356,C2099
A129,B1356,C3269
A130,B908,C1789
A130,B908,C237
A131,B2833,C5854
A131,B2833,C4393
A132,B2363,C5442
A132,B2363,C5745
A133,B3885,C116
A133,B3885,C293
A134,B442,C5210
A134,B442,C5063
A135,B336,C4910
A135,B336,C1532
A136,B1565,C1872
A136,B1565,C3450
A137,B1113,C3802
A137,B1113,C2351
A138,B1085,C240
A138,B1085,C5458
A139,B233,C2433
A139,B233,C2334
A140,B1166,C2647
A140,B1166,C1740
A141,B441,C2352
A141,B441,C3690
A142,B282,C5910
A142,B282,C5579
A143,B30,C3712
A143,B30,C1738
A144,B3571,C2393
A144,B3571,C1850
A145,B1383,C595
A145,B1383,C5198
A146,B3540,C403
A146,B3540,C3411
A147,B2716,C535
A147,B2716,C4920
A148,B2267,C4415
A148,B2267,C1457
A149,B3493,C1915
A149,B3493,C3307
A150,B2251,C159
A150,B2251,C195
A151,B840,C3082
A151,B840,C5868
A152,B3241,C3928
A152,B3241,C2775
A153,B1905,C4317
A153,B1905,C1286
A154,B26,C2382
A154,B26,C3043
A155,B697,C3256
A155,B697,C692
A156,B1302,C3979
A156,B1302,C3990
A157,B3671,C208
A157,B3671,C5228
A158,B2467,C1286
A158,B2467,C833
A159,B1094,C1440
A159,B1094,C1334
A160,B2061,C4753
A160,B2061,C4627
A161,B3007,C2519
A161,B3007,C4287
A162,B3762,C975
A162,B3762,C1847
A163,B1400,C1899
A163,B1400,C2989
A164,B3521,C4990
A164,B3521,C3591
A165,B2213,C2031
A165,B2213,C5814
A166,B767,C5817
A166,B767,C5968
A167,B2660,C3142
A167,B2660,C3853
A168,B1154,C5371
A168,B1154,C2785
A169,B2543,C4900
A169,B2543,C2099
A170,B1191,C5871
A170,B1191,C1790
A171,B3118,C5248
A171,B3118,C4123
A172,B1099,C5320
A172,B1099,C3878
A173,B1427,C1386
A173,B1427,C564
A174,B1304,C4366
A174,B1304,C3578
A175,B3310,C2433
A175,B3310,C2762
A176,B1178,C1556
A176,B1178,C233
A177,B2419,C1246
A177,B2419,C892
